,GR,M2R1,M2R2,M2R3,M2R6,M2R9,DT,ZDEN,ZCOR,CNC,log,Formação
4427.3724,87.6512,2.4107,2.9438,3.288,3.4477,3.4486,73.3071,2.5052,-0.0287,18.3499,LIS_003,Itajai-Açu e Ilha Bela
4427.5248,86.0781,2.4078,2.9351,3.277,3.4367,3.4384,72.9021,2.4972,-0.0284,17.7716,LIS_003,Itajai-Açu e Ilha Bela
4427.6772,84.6399,2.4197,2.9452,3.2858,3.4463,3.4486,72.68,2.4902,-0.0286,16.8844,LIS_003,Itajai-Açu e Ilha Bela
4427.8296,83.7712,2.4167,2.9357,3.2721,3.432,3.4347,72.6038,2.4843,-0.0296,16.3855,LIS_003,Itajai-Açu e Ilha Bela
4427.982,82.9261,2.3983,2.9065,3.2363,3.3947,3.3975,72.4895,2.4829,-0.0295,16.3983,LIS_003,Itajai-Açu e Ilha Bela
4428.1344,82.035,2.4016,2.9061,3.2333,3.3918,3.3947,72.2282,2.4862,-0.0277,16.8254,LIS_003,Itajai-Açu e Ilha Bela
4428.2868,81.4024,2.4558,2.9732,3.3066,3.4691,3.4721,71.8741,2.4901,-0.0274,17.2775,LIS_003,Itajai-Açu e Ilha Bela
4428.4392,80.5401,2.5655,3.1151,3.4651,3.6359,3.6393,71.5511,2.4919,-0.0289,17.2238,LIS_003,Itajai-Açu e Ilha Bela
4428.5916,79.0357,2.7096,3.3065,3.6806,3.8622,3.8663,71.3376,2.4911,-0.0276,16.7343,LIS_003,Itajai-Açu e Ilha Bela
4428.744,78.0342,2.8166,3.4552,3.8497,4.0392,4.0444,71.1933,2.4875,-0.0267,16.197,LIS_003,Itajai-Açu e Ilha Bela
4428.8964,78.0549,2.794,3.4384,3.8344,4.022,4.0284,71.0461,2.4834,-0.0327,15.8177,LIS_003,Itajai-Açu e Ilha Bela
4429.0488,78.9087,2.6532,3.2624,3.6402,3.8166,3.8243,70.8993,2.4833,-0.0409,15.8485,LIS_003,Itajai-Açu e Ilha Bela
4429.2012,80.9739,2.5111,3.0752,3.4311,3.5956,3.6047,70.8578,2.4897,-0.0422,16.2452,LIS_003,Itajai-Açu e Ilha Bela
4429.3536,83.8513,2.4427,2.9789,3.322,3.4798,3.4907,71.0279,2.4997,-0.0373,16.5228,LIS_003,Itajai-Açu e Ilha Bela
4429.506,86.2894,2.4403,2.9693,3.3089,3.4656,3.4786,71.4263,2.507,-0.031,16.5057,LIS_003,Itajai-Açu e Ilha Bela
4429.6584,87.9591,2.4644,2.9991,3.3402,3.4989,3.5144,71.9593,2.5107,-0.0264,16.4502,LIS_003,Itajai-Açu e Ilha Bela
